onset	duration	isold	cat	dist	rt	resp	correct	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	prot_summedsim	exe_summedsim
2	5	0	1	2	1.55213901299976	1	1	0	0	1	0	0	1	0	1	1	1	1.0008	2.2236
14	5	1	2	8	1.24377916599951	2	1	0	1	1	1	0	0	0	0	0	0	0.18503	1.2905
26	5	0	1	4	1.75047687499864	2	0	1	1	1	0	0	1	0	1	1	1	0.057405	1.7159
38	5	0	2	8	n/a	n/a	0	1	1	0	1	1	0	0	0	0	1	0.6641	0.54697
50	5	1	2	6	n/a	n/a	0	1	1	1	0	1	1	1	1	0	0	0.087266	1.7093
62	5	0	1	4	n/a	n/a	0	1	0	0	0	0	0	1	0	1	0	0.1259	0.12215
74	5	1	1	2	n/a	n/a	0	0	0	0	0	1	0	1	1	1	1	1.0008	2.2317
86	5	1	2	8	n/a	n/a	0	1	0	1	1	1	0	0	0	1	0	0.099173	2.5074
98	5	0	2	6	1.56968141500147	2	1	0	1	1	1	1	1	0	1	1	0	0.11049	0.97842
110	5	0	1	2	1.72288045599998	2	0	0	0	0	1	1	1	1	1	1	1	0.087627	1.1031
122	5	1	1	2	1.58496238299995	1	1	0	0	1	1	0	1	1	1	1	1	0.087626	1.1077
134	5	0	1	3	1.21280124499935	1	1	0	0	1	0	1	1	1	1	0	1	0.57226	1.4274
146	5	0	2	7	1.44336752500021	2	1	0	1	1	1	1	1	0	0	0	1	0.12651	0.97529
158	5	0	2	7	1.42815854699984	1	0	1	0	1	0	1	1	0	0	0	0	0.080043	0.14006
170	5	1	1	4	1.67763433500113	1	1	0	0	1	0	0	0	1	1	0	0	0.38056	1.4471
182	5	1	1	4	1.15107942600116	1	1	0	1	0	0	1	1	0	1	0	1	0.099172	1.1634
194	5	0	2	9	1.3604816370007	2	1	1	1	1	1	1	1	0	0	0	0	1.0008	1.1283
206	5	0	1	0	n/a	n/a	0	0	0	0	0	0	1	1	1	1	1	1.0008	2.2317
218	5	0	1	1	n/a	n/a	0	0	0	0	0	0	1	0	1	1	1	1.0008	2.2317
230	5	0	2	9	n/a	n/a	0	1	1	1	1	1	0	0	1	0	0	0.99537	1.1283
