onset	duration	isold	cat	dist	rt	resp	correct	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10
2	5	0	2	7	3.94585492300394	1	0	0	0	0	0	0	0	0	0	0	0
14	5	0	1	1	1.82241194199014	1	1	1	0	0	0	1	0	0	1	0	1
26	5	1	2	8	2.42413490099716	1	0	0	1	1	0	1	1	1	0	1	1
38	5	0	1	3	2.61754085200664	2	0	0	0	1	0	0	0	0	1	0	0
50	5	0	1	2	2.31411544400908	1	1	1	0	1	1	1	1	1	1	0	1
62	5	0	2	6	1.63639095099643	2	1	1	0	1	1	1	1	1	1	1	1
74	5	1	1	2	2.16501249800785	1	1	0	0	1	1	0	0	0	0	0	0
86	5	1	1	4	3.0454800370062	1	1	0	0	0	0	0	1	0	1	1	1
98	5	0	2	6	2.11919283599127	2	1	0	0	0	1	0	1	1	0	1	0
110	5	1	2	8	0.800046594013111	2	1	0	1	1	1	0	0	1	1	1	1
122	5	0	2	8	1.65799466099998	2	1	0	0	0	0	0	0	1	1	0	0
134	5	0	1	1	1.24280563999491	1	1	0	1	1	1	0	1	1	1	1	1
146	5	0	1	3	2.30001116100175	1	1	1	1	1	1	1	1	1	1	0	1
158	5	1	2	8	1.14998396400188	2	1	1	0	1	1	0	0	0	0	0	0
170	5	1	2	6	2.50236745399889	2	1	0	0	1	1	0	0	1	0	1	0
182	5	0	2	9	1.51973257200734	2	1	0	1	1	0	1	0	0	1	1	1
194	5	0	1	4	n/a	n/a	0	1	1	1	1	0	1	0	1	1	1
206	5	0	2	8	1.09874753700569	2	1	1	0	1	0	0	0	0	0	0	0
218	5	0	2	10	1.32466948499496	2	1	0	0	0	0	0	0	0	0	0	1
230	5	1	1	4	2.88714363200415	2	0	1	1	0	1	1	1	0	1	1	1
