onset	duration	isold	cat	dist	rt	resp	correct	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10
2	5	0	1	3	2.15020257899596	2	0	0	0	0	0	0	0	0	0	0	0
14	5	0	2	6	2.08738626199192	1	0	1	0	0	0	1	0	0	1	0	1
26	5	1	2	6	1.49737480700423	2	1	0	1	1	0	1	1	1	0	1	1
38	5	1	2	8	1.22533292899607	2	1	0	0	1	0	0	0	0	1	0	0
50	5	0	1	1	2.65915251399565	1	1	1	0	1	1	1	1	1	1	0	1
62	5	0	2	8	1.92283097900508	2	1	1	0	1	1	1	1	1	1	1	1
74	5	1	1	2	1.78912421500718	1	1	0	0	1	1	0	0	0	0	0	0
86	5	0	1	2	1.79046720999759	1	1	0	0	0	0	0	1	0	1	1	1
98	5	1	2	8	1.42344424600014	2	1	0	0	0	1	0	1	1	0	1	0
110	5	0	2	6	3.640696966002	2	1	0	1	1	1	0	0	1	1	1	1
122	5	0	1	4	1.57067428898881	1	1	0	0	0	0	0	0	1	1	0	0
134	5	1	1	2	1.89179505499487	2	0	0	1	1	1	0	1	1	1	1	1
146	5	1	2	6	3.01214703300502	2	1	1	1	1	1	1	1	1	1	0	1
158	5	0	2	8	1.95095747699088	1	0	1	0	1	1	0	0	0	0	0	0
170	5	0	1	3	2.91239724399929	1	1	0	0	1	1	0	0	1	0	1	0
182	5	0	2	9	2.18452044899459	2	1	0	1	1	0	1	0	0	1	1	1
194	5	1	1	2	1.68171271499887	1	1	1	1	1	1	0	1	0	1	1	1
206	5	0	1	0	1.07428210000216	1	1	1	0	1	0	0	0	0	0	0	0
218	5	0	2	7	3.02879442500125	2	1	0	0	0	0	0	0	0	0	0	1
230	5	0	1	1	n/a	n/a	0	1	1	0	1	1	1	0	1	1	1
