onset	duration	isold	cat	dist	rt	resp	correct	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10
2	5	1	1	4	1.48310553375632	1	1	0	0	0	0	0	0	0	0	0	0
14	5	0	2	6	2.07571416487917	2	1	1	0	0	0	1	0	0	1	0	1
26	5	0	1	1	1.19863341422752	1	1	0	1	1	0	1	1	1	0	1	1
38	5	0	2	8	0.990778272971511	2	1	0	0	1	0	0	0	0	1	0	0
50	5	1	2	6	n/a	n/a	0	1	0	1	1	1	1	1	1	0	1
62	5	0	1	2	1.49659611331299	1	1	1	0	1	1	1	1	1	1	1	1
74	5	0	2	9	0.985699043143541	2	1	0	0	1	1	0	0	0	0	0	0
86	5	0	2	9	0.996842537075281	2	1	0	0	0	0	0	1	0	1	1	1
98	5	0	1	0	1.34972565667704	1	1	0	0	0	1	0	1	1	0	1	0
110	5	0	1	3	2.32630007900298	2	0	0	1	1	1	0	0	1	1	1	1
122	5	0	1	4	1.36109952908009	1	1	0	0	0	0	0	0	1	1	0	0
134	5	0	2	7	3.6020609838888	2	1	0	1	1	1	0	1	1	1	1	1
146	5	1	1	2	1.02651990903541	1	1	1	1	1	1	1	1	1	1	0	1
158	5	0	1	4	1.06810138188303	1	1	1	0	1	1	0	0	0	0	0	0
170	5	1	2	8	2.621273746714	2	1	0	0	1	1	0	0	1	0	1	0
182	5	1	2	6	1.47978309169412	2	1	0	1	1	0	1	0	0	1	1	1
194	5	0	2	7	1.4963979977183	2	1	1	1	1	1	0	1	0	1	1	1
206	5	1	1	4	1.36962511437014	1	1	1	0	1	0	0	0	0	0	0	0
218	5	0	1	2	1.57009649137035	2	0	0	0	0	0	0	0	0	0	0	1
230	5	1	1	2	n/a	n/a	0	1	1	0	1	1	1	0	1	1	1
