onset	duration	isold	cat	dist	rt	resp	correct	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10
2	5	0	1	2	2.30949722998776	1	1	0	0	0	0	0	0	0	0	0	0
14	5	1	1	2	3.43943282397231	1	1	1	0	0	0	1	0	0	1	0	1
26	5	1	2	8	2.56865413801279	2	1	0	1	1	0	1	1	1	0	1	1
38	5	0	2	10	2.83399914199254	2	1	0	0	1	0	0	0	0	1	0	0
50	5	0	2	8	2.17929611698491	2	1	1	0	1	1	1	1	1	1	0	1
62	5	1	1	2	2.43797687400365	1	1	1	0	1	1	1	1	1	1	1	1
74	5	0	1	2	3.31922354898416	1	1	0	0	1	1	0	0	0	0	0	0
86	5	0	1	1	2.48825433303136	1	1	0	0	0	0	0	1	0	1	1	1
98	5	0	2	6	2.79298276000191	2	1	0	0	0	1	0	1	1	0	1	0
110	5	0	2	7	2.79477696301183	2	1	0	1	1	1	0	0	1	1	1	1
122	5	0	1	4	3.10822892398573	2	0	0	0	0	0	0	0	1	1	0	0
134	5	0	2	7	2.6693383170059	2	1	0	1	1	1	0	1	1	1	1	1
146	5	0	2	9	2.85418255603872	2	1	1	1	1	1	1	1	1	1	0	1
158	5	0	1	3	4.19955932901939	1	1	1	0	1	1	0	0	0	0	0	0
170	5	0	1	4	3.70475822896697	1	1	0	0	1	1	0	0	1	0	1	0
182	5	1	2	8	2.0740858859499	2	1	0	1	1	0	1	0	0	1	1	1
194	5	1	1	4	4.53935441200156	2	0	1	1	1	1	0	1	0	1	1	1
206	5	0	2	9	2.10110969399102	2	1	1	0	1	0	0	0	0	0	0	0
218	5	1	2	6	3.55684372998076	2	1	0	0	0	0	0	0	0	0	0	1
230	5	1	1	4	4.66280120098963	2	0	1	1	0	1	1	1	0	1	1	1
