onset	duration	isold	cat	dist	rt	resp	correct	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10
2	5	1	2	6	3.15379493311048	2	1	0	0	0	0	0	0	0	0	0	0
14	5	0	2	8	n/a	n/a	0	1	0	0	0	1	0	0	1	0	1
26	5	0	1	3	1.59080669656396	1	1	0	1	1	0	1	1	1	0	1	1
38	5	1	2	6	3.86394751258194	1	0	0	0	1	0	0	0	0	1	0	0
50	5	0	1	2	4.12108144164085	2	0	1	0	1	1	1	1	1	1	0	1
62	5	0	2	7	3.01939132809639	2	1	1	0	1	1	1	1	1	1	1	1
74	5	1	1	4	n/a	n/a	0	0	0	1	1	0	0	0	0	0	0
86	5	0	2	9	1.26930549368262	2	1	0	0	0	0	0	1	0	1	1	1
98	5	1	1	2	2.96707453019917	1	1	0	0	0	1	0	1	1	0	1	0
110	5	0	1	1	2.29632990062237	1	1	0	1	1	1	0	0	1	1	1	1
122	5	0	2	10	n/a	n/a	0	0	0	0	0	0	0	1	1	0	0
134	5	0	2	6	2.0508596599102	2	1	0	1	1	1	0	1	1	1	1	1
146	5	1	1	2	4.47505620121956	2	0	1	1	1	1	1	1	1	1	0	1
158	5	1	2	8	1.9243380445987	2	1	1	0	1	1	0	0	0	0	0	0
170	5	0	1	2	3.31832427345216	1	1	0	0	1	1	0	0	1	0	1	0
182	5	0	1	4	3.82416038028896	1	1	0	1	1	0	1	0	0	1	1	1
194	5	1	1	4	2.92980299517512	1	1	1	1	1	1	0	1	0	1	1	1
206	5	0	2	7	3.85108765773475	2	1	1	0	1	0	0	0	0	0	0	0
218	5	0	1	4	1.85204649157822	2	0	0	0	0	0	0	0	0	0	0	1
230	5	0	2	9	n/a	n/a	0	1	1	0	1	1	1	0	1	1	1
