onset	duration	isold	cat	dist	rt	resp	correct	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10
2	5	0	1	4	3.21836989099393	2	0	0	0	0	0	0	0	0	0	0	0
14	5	1	2	8	1.09270788897993	2	1	1	0	0	0	1	0	0	1	0	1
26	5	1	2	6	2.79755991999991	2	1	0	1	1	0	1	1	1	0	1	1
38	5	0	1	3	3.11042763799196	1	1	0	0	1	0	0	0	0	1	0	0
50	5	0	2	7	2.34363640198717	2	1	1	0	1	1	1	1	1	1	0	1
62	5	0	1	2	2.79261480900459	1	1	1	0	1	1	1	1	1	1	1	1
74	5	1	1	2	n/a	n/a	0	0	0	1	1	0	0	0	0	0	0
86	5	0	2	9	1.38697566400515	2	1	0	0	0	0	0	1	0	1	1	1
98	5	1	2	8	1.82775985001354	2	1	0	0	0	1	0	1	1	0	1	0
110	5	1	1	2	3.13324979698518	1	1	0	1	1	1	0	0	1	1	1	1
122	5	0	2	6	2.80738625198137	1	0	0	0	0	0	0	0	1	1	0	0
134	5	1	1	4	2.6078248929698	1	1	0	1	1	1	0	1	1	1	1	1
146	5	0	2	8	1.86565404501744	2	1	1	1	1	1	1	1	1	1	0	1
158	5	0	1	1	3.60303441499127	1	1	1	0	1	1	0	0	0	0	0	0
170	5	0	1	3	2.53173757495824	1	1	0	0	1	1	0	0	1	0	1	0
182	5	0	2	6	2.07817540701944	1	0	0	1	1	0	1	0	0	1	1	1
194	5	0	2	8	1.5738503439934	2	1	1	1	1	1	0	1	0	1	1	1
206	5	1	2	6	4.21463225997286	2	1	1	0	1	0	0	0	0	0	0	0
218	5	0	1	1	2.05612246599048	1	1	0	0	0	0	0	0	0	0	0	1
230	5	0	1	0	2.50570593599696	1	1	1	1	0	1	1	1	0	1	1	1
