onset	duration	isold	cat	dist	rt	resp	correct	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10
2	5	0	1	1	3.89576349401614	1	1	0	0	0	0	0	0	0	0	0	0
14	5	0	1	4	3.4414308440173	1	1	1	0	0	0	1	0	0	1	0	1
26	5	0	2	9	3.42756833398016	2	1	0	1	1	0	1	1	1	0	1	1
38	5	0	1	2	3.42261624103412	1	1	0	0	1	0	0	0	0	1	0	0
50	5	0	2	9	1.82959998701699	2	1	1	0	1	1	1	1	1	1	0	1
62	5	0	1	4	3.07851216499694	2	0	1	0	1	1	1	1	1	1	1	1
74	5	1	1	4	3.20841394801391	2	0	0	0	1	1	0	0	0	0	0	0
86	5	1	2	8	3.19402719195932	2	1	0	0	0	0	0	1	0	1	1	1
98	5	0	2	10	1.46720773400739	2	1	0	0	0	1	0	1	1	0	1	0
110	5	0	1	3	2.64465737104183	1	1	0	1	1	1	0	0	1	1	1	1
122	5	0	2	8	2.66210431198124	2	1	0	0	0	0	0	0	1	1	0	0
134	5	1	1	2	2.67052361700917	1	1	0	1	1	1	0	1	1	1	1	1
146	5	1	1	2	3.30453060701257	1	1	1	1	1	1	1	1	1	1	0	1
158	5	0	2	6	2.55418341699988	2	1	1	0	1	1	0	0	0	0	0	0
170	5	1	2	6	1.75552878796589	2	1	0	0	1	1	0	0	1	0	1	0
182	5	1	1	4	2.9725437600282	1	1	0	1	1	0	1	0	0	1	1	1
194	5	0	2	7	2.72571704303846	2	1	1	1	1	1	0	1	0	1	1	1
206	5	0	1	2	3.72691196296364	2	0	1	0	1	0	0	0	0	0	0	0
218	5	1	2	8	2.78464247705415	2	1	0	0	0	0	0	0	0	0	0	1
230	5	0	2	7	2.33803562796675	2	1	1	1	0	1	1	1	0	1	1	1
