onset	duration	isold	cat	dist	rt	resp	correct	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10
2	5	0	1	2	3.84341157902963	1	1	0	0	0	0	0	0	0	0	0	0
14	5	1	2	8	3.14433551696129	2	1	1	0	0	0	1	0	0	1	0	1
26	5	0	1	4	3.27335549890995	1	1	0	1	1	0	1	1	1	0	1	1
38	5	0	2	8	1.29091119603254	2	1	0	0	1	0	0	0	0	1	0	0
50	5	1	2	6	1.44423957902472	2	1	1	0	1	1	1	1	1	1	0	1
62	5	0	1	4	1.09338075993583	1	1	1	0	1	1	1	1	1	1	1	1
74	5	1	1	2	1.24963517999277	2	0	0	0	1	1	0	0	0	0	0	0
86	5	1	2	8	2.25431390700396	2	1	0	0	0	0	0	1	0	1	1	1
98	5	0	2	6	1.28855524898972	2	1	0	0	0	1	0	1	1	0	1	0
110	5	0	1	2	n/a	n/a	0	0	1	1	1	0	0	1	1	1	1
122	5	1	1	2	3.69130353501532	1	1	0	0	0	0	0	0	1	1	0	0
134	5	0	1	3	3.51528536400292	2	0	0	1	1	1	0	1	1	1	1	1
146	5	0	2	7	1.24453786108643	2	1	1	1	1	1	1	1	1	1	0	1
158	5	0	2	7	3.86981762899086	1	0	1	0	1	1	0	0	0	0	0	0
170	5	1	1	4	2.35302354209125	1	1	0	0	1	1	0	0	1	0	1	0
182	5	1	1	4	1.36982052400708	2	0	0	1	1	0	1	0	0	1	1	1
194	5	0	2	9	1.8821129319258	2	1	1	1	1	1	0	1	0	1	1	1
206	5	0	1	0	1.83616129495203	1	1	1	0	1	0	0	0	0	0	0	0
218	5	0	1	1	2.92296877002809	1	1	0	0	0	0	0	0	0	0	0	1
230	5	0	2	9	2.61389318294823	2	1	1	1	0	1	1	1	0	1	1	1
