onset	duration	isold	cat	dist	rt	resp	correct	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10
2	5	0	2	8	3.97265831008554	2	1	0	0	0	0	0	0	0	0	0	0
14	5	0	1	4	3.01398812048137	1	1	1	0	0	0	1	0	0	1	0	1
26	5	0	2	6	2.77579522132874	2	1	0	1	1	0	1	1	1	0	1	1
38	5	0	2	7	3.04931129701436	2	1	0	0	1	0	0	0	0	1	0	0
50	5	0	2	9	3.31419313326478	2	1	1	0	1	1	1	1	1	1	0	1
62	5	0	1	2	4.16417501866817	1	1	1	0	1	1	1	1	1	1	1	1
74	5	1	1	2	4.42896607704461	2	0	0	0	1	1	0	0	0	0	0	0
86	5	0	1	0	3.72662287577987	1	1	0	0	0	0	0	1	0	1	1	1
98	5	1	2	6	3.35169857740402	1	0	0	0	0	1	0	1	1	0	1	0
110	5	0	1	3	3.0173577722162	1	1	0	1	1	1	0	0	1	1	1	1
122	5	1	1	4	3.88284334167838	2	0	0	0	0	0	0	0	1	1	0	0
134	5	1	2	6	2.64313686452806	2	1	0	1	1	1	0	1	1	1	1	1
146	5	0	1	2	3.52444013394415	2	0	1	1	1	1	1	1	1	1	0	1
158	5	1	2	6	2.11001598089933	2	1	1	0	1	1	0	0	0	0	0	0
170	5	1	1	2	4.89545442722738	1	1	0	0	1	1	0	0	1	0	1	0
182	5	0	1	1	4.28826091997325	2	0	0	1	1	0	1	0	0	1	1	1
194	5	1	1	4	3.58583619445562	1	1	1	1	1	1	0	1	0	1	1	1
206	5	0	2	9	2.37983275018632	2	1	1	0	1	0	0	0	0	0	0	0
218	5	0	1	4	3.90018395334482	1	1	0	0	0	0	0	0	0	0	0	1
230	5	0	2	7	3.30226691626012	2	1	1	1	0	1	1	1	0	1	1	1
