onset	duration	isold	cat	dist	rt	resp	correct	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10
2	5	0	1	2	2.40168721415102	1	1	0	0	0	0	0	0	0	0	0	0
14	5	0	2	6	1.15574028901756	2	1	1	0	0	0	1	0	0	1	0	1
26	5	0	1	0	1.14138020388782	1	1	0	1	1	0	1	1	1	0	1	1
38	5	1	1	4	1.59190002270043	2	0	0	0	1	0	0	0	0	1	0	0
50	5	1	2	8	2.44188585691154	1	0	1	0	1	1	1	1	1	1	0	1
62	5	0	2	8	1.26663413271308	2	1	1	0	1	1	1	1	1	1	1	1
74	5	0	2	9	2.61907446011901	2	1	0	0	1	1	0	0	0	0	0	0
86	5	0	1	4	2.44392492063344	1	1	0	0	0	0	0	1	0	1	1	1
98	5	1	1	4	2.35919852927327	1	1	0	0	0	1	0	1	1	0	1	0
110	5	0	1	1	1.39953090809286	1	1	0	1	1	1	0	0	1	1	1	1
122	5	0	2	7	1.72115173377097	2	1	0	0	0	0	0	0	1	1	0	0
134	5	1	2	6	1.66494039259851	2	1	0	1	1	1	0	1	1	1	1	1
146	5	0	1	3	1.97043793275952	1	1	1	1	1	1	1	1	1	1	0	1
158	5	0	2	8	3.10033610835671	1	0	1	0	1	1	0	0	0	0	0	0
170	5	0	1	3	1.4466252438724	1	1	0	0	1	1	0	0	1	0	1	0
182	5	0	2	6	1.04767999053001	2	1	0	1	1	0	1	0	0	1	1	1
194	5	1	2	8	0.904823087155819	2	1	1	1	1	1	0	1	0	1	1	1
206	5	1	1	2	1.29876768775284	1	1	1	0	1	0	0	0	0	0	0	0
218	5	0	1	1	1.05197349563241	1	1	0	0	0	0	0	0	0	0	0	1
230	5	1	2	6	2.40490106493235	1	0	1	1	0	1	1	1	0	1	1	1
