onset	duration	isold	cat	dist	rt	resp	correct	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10
2	5	0	1	3	4.59796051494777	2	0	0	0	0	0	0	0	0	0	0	0
14	5	0	2	8	1.69703408330679	1	0	1	0	0	0	1	0	0	1	0	1
26	5	0	1	1	2.72318045794964	1	1	0	1	1	0	1	1	1	0	1	1
38	5	1	2	6	4.78723377734423	2	1	0	0	1	0	0	0	0	1	0	0
50	5	1	2	6	2.32448268309236	1	0	1	0	1	1	1	1	1	1	0	1
62	5	0	1	2	1.94245444796979	1	1	1	0	1	1	1	1	1	1	1	1
74	5	0	2	8	1.73659276403487	2	1	0	0	1	1	0	0	0	0	0	0
86	5	1	2	8	0.170083787292242	2	1	0	0	0	0	0	1	0	1	1	1
98	5	0	2	9	1.4035806953907	2	1	0	0	0	1	0	1	1	0	1	0
110	5	1	1	2	3.46093731001019	1	1	0	1	1	1	0	0	1	1	1	1
122	5	0	2	7	1.32582454383373	1	0	0	0	0	0	0	0	1	1	0	0
134	5	0	1	1	3.68805906735361	1	1	0	1	1	1	0	1	1	1	1	1
146	5	0	1	3	2.94453659653664	2	0	1	1	1	1	1	1	1	1	0	1
158	5	1	1	2	1.25727106630802	1	1	1	0	1	1	0	0	0	0	0	0
170	5	0	2	6	1.72312595695257	2	1	0	0	1	1	0	0	1	0	1	0
182	5	0	1	4	1.84284739755094	1	1	0	1	1	0	1	0	0	1	1	1
194	5	1	2	8	1.11803394369781	2	1	1	1	1	1	0	1	0	1	1	1
206	5	0	2	6	0.991487417370081	2	1	1	0	1	0	0	0	0	0	0	0
218	5	1	1	4	2.12858257256448	2	0	0	0	0	0	0	0	0	0	0	1
230	5	0	2	10	1.64932748675346	2	1	1	1	0	1	1	1	0	1	1	1
