onset	duration	isold	cat	dist	rt	resp	correct	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10
2	5	1	2	8	n/a	n/a	0	0	0	0	0	0	0	0	0	0	0
14	5	1	1	2	1.2589641045779	1	1	1	0	0	0	1	0	0	1	0	1
26	5	0	2	7	2.06039574183524	2	1	0	1	1	0	1	1	1	0	1	1
38	5	1	1	2	1.4308680575341	1	1	0	0	1	0	0	0	0	1	0	0
50	5	0	2	6	1.73613635450602	2	1	1	0	1	1	1	1	1	1	0	1
62	5	1	2	8	2.92167985625565	2	1	1	0	1	1	1	1	1	1	1	1
74	5	0	2	8	1.70650310069323	2	1	0	0	1	1	0	0	0	0	0	0
86	5	0	1	1	1.73121569305658	1	1	0	0	0	0	0	1	0	1	1	1
98	5	0	1	3	1.46779811754823	1	1	0	0	0	1	0	1	1	0	1	0
110	5	0	1	1	1.27785973995924	1	1	0	1	1	1	0	0	1	1	1	1
122	5	0	2	9	1.07892805710435	2	1	0	0	0	0	0	0	1	1	0	0
134	5	1	2	6	1.68066877499223	1	0	0	1	1	1	0	1	1	1	1	1
146	5	0	1	0	3.08964450284839	1	1	1	1	1	1	1	1	1	1	0	1
158	5	1	2	6	1.48361166380346	2	1	1	0	1	1	0	0	0	0	0	0
170	5	0	1	2	2.71734834089875	1	1	0	0	1	1	0	0	1	0	1	0
182	5	0	2	8	1.30267064087093	2	1	0	1	1	0	1	0	0	1	1	1
194	5	0	1	3	2.26381969638169	1	1	1	1	1	1	0	1	0	1	1	1
206	5	0	1	4	1.91312919557095	1	1	1	0	1	0	0	0	0	0	0	0
218	5	1	1	4	1.83407821878791	2	0	0	0	0	0	0	0	0	0	0	1
230	5	0	2	6	n/a	n/a	0	1	1	0	1	1	1	0	1	1	1
