onset	duration	isold	cat	dist	rt	resp	correct	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	prot_summedsim	exe_summedsim
2	5	0	2	6	0.334499516058713	2	1	0	1	1	1	0	1	0	0	0	0	0.06791	1.119
14	5	1	2	6	0.289157260092907	2	1	0	0	1	0	0	1	0	1	1	0	0.050761	1.4175
26	5	0	2	9	4.516773054027	2	1	0	0	0	1	0	0	1	1	0	0	0.4905	1.1989
38	5	0	1	3	1.51071652595419	1	1	1	0	1	0	1	1	0	0	1	0	0.39434	0.87263
50	5	0	1	1	2.27207109099254	1	1	1	1	0	1	1	1	0	0	1	1	0.91998	1.1459
62	5	0	1	1	4.10702426498756	1	1	1	1	0	0	1	1	1	0	1	1	0.20302	0.3462
74	5	0	2	7	2.74879211199004	2	1	1	0	1	0	0	1	1	1	0	0	0.30772	0.58256
86	5	0	1	2	3.87914927408565	2	0	1	1	0	1	1	1	0	0	0	1	0.087685	0.43697
98	5	1	2	8	1.55303519708104	2	1	0	0	1	1	0	0	0	0	0	0	0.067917	1.119
110	5	1	2	6	4.20213156298269	2	1	1	0	1	1	1	0	1	0	0	1	0.078609	1.4101
122	5	0	1	3	3.57971090497449	1	1	1	1	0	0	0	1	1	0	1	0	0.14988	0.2603
134	5	1	1	2	3.67354378500022	1	1	1	1	1	1	1	1	0	0	1	1	0.45114	1.3348
146	5	0	2	8	1.71444691403303	2	1	0	0	0	1	0	0	1	1	0	1	0.3944	1.3493
158	5	0	2	10	1.84460440895054	2	1	0	0	1	1	0	0	1	1	0	0	1.0006	1.0241
170	5	1	1	4	3.04506390204187	1	1	0	1	0	1	1	1	0	1	1	0	0.079374	1.4204
182	5	1	2	6	2.35063903592527	2	1	0	1	0	1	0	1	1	1	0	1	0.39434	1.3493
194	5	0	2	8	1.51860067993402	2	1	0	0	0	1	1	0	1	1	0	0	0.44575	1.1989
206	5	0	1	4	1.98580587597098	2	0	0	1	0	1	1	1	1	0	0	1	0.10934	0.40543
218	5	0	2	6	3.64213715610094	2	1	0	1	1	0	1	0	0	1	0	0	0.17053	0.26771
230	5	1	1	2	3.86816334200557	2	0	1	1	0	0	1	1	1	1	1	1	0.067917	1.078
