onset	duration	isold	cat	dist	rt	resp	correct	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	prot_summedsim	exe_summedsim
2	5	0	2	10	1.810823332984	2	1	1	0	0	0	1	1	1	0	1	1	1.022	2.3253
14	5	1	1	2	1.58930355403572	1	1	0	1	1	1	1	0	0	1	1	0	0.65657	2.0915
26	5	0	1	3	2.20765226200456	1	1	0	0	1	1	1	0	1	1	0	0	0.45974	2.0915
38	5	0	2	9	1.19223689904902	2	1	1	0	0	0	1	1	1	1	1	1	1.022	2.3251
50	5	0	1	1	1.48122081998736	2	0	0	1	0	1	0	0	0	1	0	0	0.31405	0.82631
62	5	0	1	2	2.31465662899427	1	1	0	1	1	1	0	0	0	0	0	1	0.34402	0.3577
74	5	0	2	6	2.38986394205131	1	0	0	0	1	1	1	1	0	0	1	1	0.29846	0.92197
86	5	0	1	4	2.33965211902978	2	0	1	1	1	1	0	0	1	1	1	1	0.31304	0.71027
98	5	0	2	7	1.51054870703956	2	1	0	0	0	0	1	1	1	1	1	0	0.34402	0.67492
110	5	0	1	4	1.32694620400434	1	1	0	1	1	0	1	0	1	0	0	0	0.53984	2.0174
122	5	1	2	8	1.3843961940147	2	1	0	1	0	0	1	1	1	0	1	1	0.84534	2.0841
134	5	1	1	2	2.17083953198744	1	1	1	1	0	1	0	0	0	1	0	0	0.31405	1.1627
146	5	0	1	2	1.31694181397324	1	1	1	1	1	0	0	0	0	1	0	0	1.022	1.7136
158	5	1	2	8	1.00459117500577	2	1	1	0	0	0	0	0	1	0	1	1	0.65657	2.563
170	5	1	1	4	n/a	n/a	0	0	1	1	0	0	1	1	1	1	0	0.82519	2.6679
182	5	0	2	8	1.35237798601156	2	1	1	0	0	0	1	1	0	0	1	0	0.31304	0.47874
194	5	0	2	9	1.90551675000461	2	1	0	0	0	0	1	1	1	0	1	1	1.022	2.0841
206	5	1	1	2	2.35564550798154	1	1	0	0	1	0	0	0	0	1	0	0	0.84534	2.8334
218	5	1	2	6	1.38008141401224	1	0	1	0	1	0	1	0	1	0	0	0	0.45974	1.7614
230	5	0	2	7	1.47280100302305	1	0	1	0	0	0	0	1	1	1	1	0	0.29746	0.59747
