onset	duration	isold	cat	dist	rt	resp	correct	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	prot_summedsim	exe_summedsim
2	5	0	2	10	3.03387031401508	2	1	0	0	0	0	0	0	0	0	0	0	1.0006	0.45649
14	5	1	1	4	3.70673546398757	1	1	1	1	0	1	1	0	1	1	0	0	0.079113	1.1258
26	5	1	2	8	3.67622278700583	2	1	0	0	0	0	0	0	1	1	0	0	0.21318	1.1259
38	5	0	2	9	3.13382276002085	2	1	0	1	0	0	0	0	0	0	0	0	1.0006	0.45649
50	5	1	1	4	4.39066817204002	1	1	0	1	1	0	1	1	1	0	1	0	0.26076	1.1922
62	5	0	1	4	3.85533205495449	1	1	1	0	0	0	1	1	1	1	1	0	0.056406	1.1947
74	5	1	2	6	3.59986020700308	2	1	0	1	1	0	0	1	0	0	0	1	0.11207	1.9678
86	5	0	2	7	3.68997529195622	2	1	0	1	0	0	1	1	0	0	0	0	0.159	1.098
98	5	1	2	8	3.23581826401642	2	1	0	0	0	0	1	0	0	0	1	0	0.10879	1.3758
110	5	0	1	2	3.46058523101965	1	1	1	0	1	1	1	1	0	1	1	1	0.21318	1.1824
122	5	0	1	2	4.17930158198578	2	0	0	1	0	1	1	1	1	1	1	1	0.077844	0.55156
134	5	1	1	2	3.57427071803249	2	0	1	1	0	0	1	1	1	1	1	1	0.056406	1.1947
146	5	0	2	7	4.11964685696876	2	1	1	0	1	0	0	0	0	0	0	1	0.077844	1.9367
158	5	0	2	9	2.64146652701311	2	1	0	0	0	0	0	0	1	0	0	0	0.21318	1.1259
170	5	0	1	4	3.64166522800224	1	1	0	0	1	1	1	0	1	1	0	1	0.43304	0.33887
182	5	0	1	1	2.93890705099329	1	1	1	1	1	0	1	1	1	1	1	1	0.39896	1.1922
194	5	0	2	6	4.20518800901482	1	0	0	1	0	0	1	0	1	0	1	0	0.049183	1.0351
206	5	1	1	2	4.49453449499561	1	1	1	1	1	1	0	0	1	1	1	1	0.159	1.1846
218	5	0	1	3	n/a	n/a	0	1	0	1	1	1	1	0	1	0	1	0.1439	0.50947
230	5	0	2	8	4.16843250300735	2	1	0	0	1	0	0	0	0	0	1	0	0.079113	0.5832
