onset	duration	isold	cat	dist	rt	resp	correct	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	prot_summedsim	exe_summedsim
2	5	0	1	2	2.283246306004	1	1	1	0	1	1	1	0	1	1	1	1	1.0006	1.1626
14	5	0	1	1	3.0991122139967	2	0	1	1	0	1	1	1	1	1	1	1	0.11207	0.55156
26	5	0	1	4	3.06815400900086	2	0	1	1	0	1	0	1	0	0	1	1	0.17505	0.35679
38	5	0	2	8	3.10141632700106	2	1	0	1	0	0	0	0	1	0	0	0	0.21318	1.1259
50	5	0	2	6	2.92906130803749	2	1	0	1	0	1	0	1	0	1	0	0	0.39896	0.87974
62	5	1	2	8	4.07245580502786	2	1	1	0	1	0	0	0	0	0	0	0	0.077844	1.9367
74	5	1	1	4	4.21073920099298	2	0	1	0	1	1	0	1	0	1	0	1	0.049183	1.3409
86	5	0	2	9	2.4030945210252	2	1	0	0	0	0	0	0	0	1	0	0	1.0006	0.45649
98	5	0	1	3	2.92772217100719	1	1	1	1	1	0	1	0	0	1	1	1	0.090735	0.29803
110	5	0	2	7	2.76120648498181	2	1	0	0	0	1	0	0	1	1	0	0	0.090735	0.63608
122	5	0	2	8	3.12186384602683	2	1	1	0	0	0	1	0	0	0	0	0	0.1068	1.3549
134	5	1	1	2	2.68353717104765	1	1	1	1	1	1	1	1	0	0	1	1	0.21318	1.1824
146	5	1	2	6	4.52981853799429	2	1	0	0	0	1	0	1	1	0	1	0	0.066242	1.1159
158	5	0	2	6	3.23482823598897	2	1	1	0	1	0	0	0	0	1	0	1	0.077844	1.9367
170	5	0	1	0	2.99528806697344	1	1	1	1	1	1	1	1	1	1	1	1	1.0006	1.3796
182	5	1	2	6	3.76477841299493	2	1	1	0	0	0	1	0	0	1	0	1	0.1068	1.3549
194	5	0	1	1	3.48652431898518	1	1	1	0	1	1	1	1	1	1	1	1	1.0006	1.3796
206	5	1	2	8	2.70340617897455	2	1	0	1	0	1	0	0	0	0	0	0	0.39896	1.0831
218	5	0	1	3	4.66505636897637	1	1	1	1	0	1	1	1	1	1	0	0	0.079113	0.93394
230	5	1	1	2	3.96125869400566	1	1	0	0	1	1	1	1	1	1	1	1	0.65118	1.3796
