onset	duration	isold	cat	dist	rt	resp	correct	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10
2	5	1	1	2	2.74918354302645	1	1	0	0	0	0	0	0	0	0	0	0
14	5	0	2	9	3.41435298323631	2	1	1	0	0	0	1	0	0	1	0	1
26	5	1	1	4	3.32791171595454	1	1	0	1	1	0	1	1	1	0	1	1
38	5	0	2	7	2.07324632629752	2	1	0	0	1	0	0	0	0	1	0	0
50	5	0	1	1	1.11494013108313	1	1	1	0	1	1	1	1	1	1	0	1
62	5	0	2	8	1.30015755444765	2	1	1	0	1	1	1	1	1	1	1	1
74	5	0	1	4	2.59801144897938	2	0	0	0	1	1	0	0	0	0	0	0
86	5	1	2	6	2.1669551897794	2	1	0	0	0	0	0	1	0	1	1	1
98	5	0	1	0	1.03287066705525	1	1	0	0	0	1	0	1	1	0	1	0
110	5	1	2	6	2.92794971168041	2	1	0	1	1	1	0	0	1	1	1	1
122	5	1	1	2	n/a	n/a	0	0	0	0	0	0	0	1	1	0	0
134	5	0	2	9	2.13205137848854	2	1	0	1	1	1	0	1	1	1	1	1
146	5	1	2	8	1.53320840746164	2	1	1	1	1	1	1	1	1	1	0	1
158	5	0	1	2	1.24665649421513	1	1	1	0	1	1	0	0	0	0	0	0
170	5	0	2	6	3.10409766994417	1	0	0	0	1	1	0	0	1	0	1	0
182	5	0	1	4	3.65056400932372	2	0	0	1	1	0	1	0	0	1	1	1
194	5	0	1	2	2.76212041638792	1	1	1	1	1	1	0	1	0	1	1	1
206	5	0	1	3	2.14812888391316	1	1	1	0	1	0	0	0	0	0	0	0
218	5	0	2	7	1.28557612001896	2	1	0	0	0	0	0	0	0	0	0	1
230	5	1	1	2	1.8536967895925	2	0	1	1	0	1	1	1	0	1	1	1
