onset	duration	isold	cat	dist	rt	resp	correct	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10
2	5	1	2	8	1.5422716489993	2	1	0	0	0	0	0	0	0	0	0	0
14	5	0	2	10	1.07849092897959	2	1	1	0	0	0	1	0	0	1	0	1
26	5	1	2	6	2.35681750602089	2	1	0	1	1	0	1	1	1	0	1	1
38	5	0	1	3	1.63082844798919	1	1	0	0	1	0	0	0	0	1	0	0
50	5	0	2	8	1.12792061897926	2	1	1	0	1	1	1	1	1	1	0	1
62	5	0	1	4	0.729401593911462	1	1	1	0	1	1	1	1	1	1	1	1
74	5	1	2	6	1.76295871892944	2	1	0	0	1	1	0	0	0	0	0	0
86	5	1	1	4	1.10011290106922	1	1	0	0	0	0	0	1	0	1	1	1
98	5	0	2	9	1.54193615494296	2	1	0	0	0	1	0	1	1	0	1	0
110	5	0	1	2	1.27895272604655	1	1	0	1	1	1	0	0	1	1	1	1
122	5	1	1	2	1.68047257699072	1	1	0	0	0	0	0	0	1	1	0	0
134	5	0	1	1	1.07375710597262	1	1	0	1	1	1	0	1	1	1	1	1
146	5	0	2	6	1.4906901960494	2	1	1	1	1	1	1	1	1	1	0	1
158	5	0	1	3	0.979859948973171	1	1	1	0	1	1	0	0	0	0	0	0
170	5	0	1	1	1.17431840498466	1	1	0	0	1	1	0	0	1	0	1	0
182	5	0	2	6	1.14241551305167	2	1	0	1	1	0	1	0	0	1	1	1
194	5	1	2	8	1.79192276496906	2	1	1	1	1	1	0	1	0	1	1	1
206	5	1	1	4	1.53726172598545	1	1	1	0	1	0	0	0	0	0	0	0
218	5	0	2	8	1.61864390596747	2	1	0	0	0	0	0	0	0	0	0	1
230	5	0	2	7	1.14773036108818	2	1	1	1	0	1	1	1	0	1	1	1
