onset	duration	isold	cat	dist	rt	resp	correct	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	prot_summedsim	exe_summedsim
2	5	1	1	4	2.28744871600065	1	1	1	1	1	0	1	1	0	1	0	0	1.0616	3.4866
14	5	0	1	1	3.34386050596368	2	0	0	1	1	1	0	0	1	1	0	0	0.61545	2.735
26	5	0	2	8	3.729598358972	1	0	1	0	1	1	1	1	1	0	1	1	0.49632	2.0107
38	5	0	2	7	2.68272937904112	2	1	0	0	0	0	1	0	0	0	1	1	0.61545	3.4896
50	5	0	1	4	3.69897131703328	1	1	0	1	1	1	0	0	1	0	1	1	0.61545	2.735
62	5	1	1	4	4.34138832008466	2	0	0	0	1	0	0	0	1	0	0	0	0.49632	2.0107
74	5	0	2	10	2.61026255192701	2	1	1	0	0	0	1	1	1	0	1	1	1.0616	2.732
86	5	0	1	3	4.67254333104938	2	0	0	1	0	1	0	1	1	1	0	0	0.633	1.2531
98	5	1	2	6	2.81025100906845	1	0	1	1	1	0	1	0	1	0	1	0	0.61545	2.735
110	5	0	1	4	3.3715914649656	2	0	0	1	0	1	1	0	1	1	0	1	0.633	1.2531
122	5	0	2	7	3.71779488504399	1	0	0	0	1	0	0	1	1	0	1	1	0.49632	2.0107
134	5	0	2	6	4.19211574702058	2	1	1	0	1	0	1	0	1	0	0	0	0.49632	2.0107
146	5	0	1	2	3.16083925997373	2	0	0	1	0	1	0	0	1	1	0	0	0.633	1.2531
158	5	1	2	6	3.84258135699201	1	0	0	0	0	0	0	1	1	1	1	0	1.0616	2.732
170	5	1	2	8	2.88255831296556	1	0	0	0	1	0	1	1	1	0	1	1	0.49632	2.0107
182	5	0	2	9	2.37915757601149	2	1	1	0	0	0	1	1	1	0	0	1	1.0616	2.732
194	5	1	1	4	n/a	n/a	0	0	0	0	1	0	0	0	1	1	1	0.61545	3.4896
206	5	0	2	9	4.14159332995769	2	1	1	0	0	0	1	1	1	0	1	0	1.0616	2.732
218	5	1	1	2	2.15169808000792	1	1	1	1	1	1	0	0	0	0	0	0	1.0616	3.4866
230	5	0	1	2	2.99174333689734	2	0	0	0	0	1	0	0	0	1	0	0	0.61545	3.4896
