onset	duration	isold	cat	dist	rt	resp	correct	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	prot_summedsim	exe_summedsim
2	5	0	1	4	1.72433337999973	1	1	0	1	0	0	0	0	0	1	1	1	0.27707	1.9022
14	5	0	2	6	3.90732690598816	1	0	0	0	1	0	1	0	0	1	0	1	0.28243	1.8202
26	5	0	1	2	3.81352646197774	1	1	1	1	1	0	1	1	0	0	1	0	0.89793	1.7564
38	5	1	1	2	1.41404629699537	1	1	0	1	0	0	0	1	0	0	1	1	0.32071	1.4102
50	5	0	2	8	1.18472027199459	2	1	0	1	1	1	1	0	1	1	0	0	0.8267	1.8194
62	5	0	2	7	2.97767781600123	2	1	1	0	1	1	0	1	1	1	1	0	0.36564	0.48256
74	5	0	1	1	4.91490504797548	2	0	1	1	0	0	1	1	1	0	1	1	0.49036	1.928
86	5	1	1	2	2.28507117001573	1	1	1	0	0	0	1	1	0	0	0	1	1.0186	1.8023
98	5	0	2	9	2.79756407800596	2	1	1	0	1	1	0	0	1	1	0	0	0.36564	1.6889
110	5	1	2	8	1.26257288001943	2	1	0	0	0	1	1	0	1	1	0	0	0.7309	1.9336
122	5	0	2	8	3.4556864379847	1	0	0	0	1	0	0	0	1	1	1	0	0.35354	0.14013
134	5	0	1	3	1.2092102660099	1	1	0	0	0	0	1	1	0	1	1	1	0.2946	1.155
146	5	1	1	2	1.67412237898679	1	1	1	1	0	1	1	1	0	0	1	0	0.35354	1.059
158	5	0	1	1	1.55669885801035	1	1	1	1	0	0	0	1	0	0	1	1	0.8267	1.7526
170	5	0	2	6	1.36436458700337	2	1	0	0	0	1	0	1	1	0	1	0	0.61628	1.3632
182	5	0	2	10	1.80695304501569	2	1	0	0	1	1	0	0	1	1	0	0	1.0186	1.8919
194	5	1	2	8	2.5997160699917	1	0	1	0	1	1	0	0	1	0	0	0	0.2946	1.6889
206	5	0	1	3	1.11353494200739	1	1	1	1	0	0	1	1	1	1	1	0	0.3614	1.9262
218	5	1	2	6	4.30696628399892	1	0	0	1	1	0	0	0	0	0	0	0	0.30121	1.9325
230	5	1	2	8	n/a	n/a	0	0	0	1	1	0	1	1	1	1	0	1.0186	1.4077
