onset	duration	isold	cat	dist	rt	resp	correct	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10
2	5	0	1	4	2.75383175100433	1	1	0	0	0	0	0	0	0	0	0	0
14	5	0	1	0	1.87622499198187	1	1	1	0	0	0	1	0	0	1	0	1
26	5	0	1	4	3.68609180199564	1	1	0	1	1	0	1	1	1	0	1	1
38	5	1	2	8	1.22171482699923	2	1	0	0	1	0	0	0	0	1	0	0
50	5	1	1	2	3.01529458499863	1	1	1	0	1	1	1	1	1	1	0	1
62	5	0	2	7	1.28910109598655	2	1	1	0	1	1	1	1	1	1	1	1
74	5	1	1	2	2.49056456799735	1	1	0	0	1	1	0	0	0	0	0	0
86	5	0	2	6	2.44501732700155	2	1	0	0	0	0	0	1	0	1	1	1
98	5	0	2	9	1.20929857800365	2	1	0	0	0	1	0	1	1	0	1	0
110	5	1	1	4	3.00095890800003	1	1	0	1	1	1	0	0	1	1	1	1
122	5	0	1	2	2.42666823501349	1	1	0	0	0	0	0	0	1	1	0	0
134	5	1	2	8	n/a	n/a	0	0	1	1	1	0	1	1	1	1	1
146	5	0	1	2	1.39502654600074	1	1	1	1	1	1	1	1	1	1	0	1
158	5	0	1	3	1.26730767800473	1	1	1	0	1	1	0	0	0	0	0	0
170	5	0	2	9	4.90066575200763	2	1	0	0	1	1	0	0	1	0	1	0
182	5	0	2	7	0.878735744016012	2	1	0	1	1	0	1	0	0	1	1	1
194	5	0	1	1	1.92099182601669	1	1	1	1	1	1	0	1	0	1	1	1
206	5	1	1	2	0.0917093530006241	2	0	1	0	1	0	0	0	0	0	0	0
218	5	1	2	6	0.859068593999837	2	1	0	0	0	0	0	0	0	0	0	1
230	5	0	2	8	3.2297857410158	2	1	1	1	0	1	1	1	0	1	1	1
