onset	duration	isold	cat	dist	rt	resp	correct	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	prot_summedsim	exe_summedsim
2	5	1	2	6	n/a	n/a	0	1	0	1	0	1	1	1	1	0	0	0.33324	2.0752
14	5	0	2	9	2.44660161301726	2	1	0	0	1	1	0	1	1	1	0	0	1.0186	1.4077
26	5	1	1	4	1.60081084101694	1	1	1	0	1	0	0	1	0	1	1	1	0.50925	1.7768
38	5	1	2	8	3.5458129059989	1	0	1	0	1	1	0	0	1	0	0	0	0.2946	1.6889
50	5	0	2	8	1.92291955600376	1	0	1	0	1	1	0	0	1	1	0	1	0.36564	1.6825
62	5	0	2	6	3.43682044601883	1	0	0	1	1	1	1	0	0	0	0	0	0.31779	0.85904
74	5	1	1	4	2.70228938799119	1	1	1	1	0	1	1	0	1	1	1	1	0.30121	1.6946
86	5	0	2	8	2.65528328099754	2	1	0	0	1	0	0	0	0	1	0	0	0.27297	1.9325
98	5	0	1	2	1.65701509799692	1	1	1	0	0	0	0	1	0	0	1	1	0.8267	1.7526
110	5	0	1	4	2.91428316198289	1	1	1	0	1	0	1	1	0	1	1	0	0.61628	1.7564
122	5	0	1	1	2.06756829001824	1	1	0	1	0	0	1	1	0	0	1	1	0.36564	1.155
134	5	1	2	6	2.35469980002381	2	1	0	1	1	0	0	0	0	0	0	0	0.30121	1.9325
146	5	0	1	3	3.57397104200209	1	1	0	1	1	0	1	1	1	0	1	1	0.27489	0.081055
158	5	1	1	2	1.95076928200433	1	1	1	0	0	0	1	1	0	0	0	1	1.0186	1.8023
170	5	0	1	3	2.94476902700262	1	1	1	0	0	0	1	0	1	0	1	1	0.49036	0.51048
182	5	0	2	10	4.18492496100953	2	1	0	0	1	1	0	0	1	1	0	0	1.0186	1.8919
194	5	0	2	6	2.52369443399948	1	0	1	0	1	1	0	0	0	0	1	0	0.295	0.26587
206	5	0	1	1	1.32443111398607	1	1	1	1	0	1	1	1	0	0	1	1	0.35354	1.04
218	5	0	2	7	1.26289586198982	2	1	0	0	1	1	1	1	0	1	0	0	0.41229	0.2623
230	5	1	2	8	1.41667859000154	2	1	0	0	1	1	0	0	0	1	0	1	0.49036	1.1362
